,﻿OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,northing,easting
155,18832,NVC07,Hospital,Hospital,Independent Sector,Visible,True,Fulwood Hall Hospital,Midgery Lane,Fulwood,,Preston,Lancashire,PR2 9SZ,53.78632355,-2.684020996,NVC,Ramsay Healthcare UK Operations Limited,01772 704111,fulwood.enquiries@ramsayhealth.co.uk,http://www.fulwoodhallhospital.co.uk/,01772 795131 ,432463.5,354938.0938
708,43926,RYYAL,Hospital,Hospital,NHS Sector,Visible,True,Faversham Cottage Hospital,Stone Street,,,Faversham,Kent,ME13 8PS,51.31455231,0.887836456,RYY,Kent Community Health NHS Foundation Trust,01795 562066,,http://www.kentcht.nhs.uk,,161287.3594,601227.25
1140,6518173,DAM06,Hospital,UNKNOWN,NHS Sector,Visible,True,Windermere House Independent Hospital,Birkdale Way,Newbridge Road,,Hull,Yorkshire(East Riding),HU9 2BH,53.74993896,-0.308325261,DAM,Barchester Healthcare Ltd,00000 000000,,,,429526.8438,511536.375
174,18855,NVC31,Hospital,Hospital,Independent Sector,Visible,True,Blakelands Hospital,Smeaton Close,Blakelands,,Milton Keynes,Buckinghamshire,MK14 5HR,52.07442474,-0.742682993,NVC,Ramsay Healthcare UK Operations Limited,01908 334200,blakelands.enquiries@ramsayhealth.co.uk,http://www.blakelandshospital.co.uk,01908 334201,242576.5781,486162.3125
1017,1169069,NYW04,Hospital,Hospital,Independent Sector,Visible,True,Claremont Private Hospital,,"401 Sandygate Road, Sheffield",,Sheffield,South Yorkshire,S10 5UB,53.37545776,-1.536024451,NYW,Aspen Healthcare Limited,0114 263 0330,info@claremont-hospital.co.uk,http://www.claremont-hospital.co.uk/,0114 263 2122,386640.875,430863.7188
82,18432,NT410,Hospital,Hospital,Independent Sector,Visible,True,BMI The Chiltern Hospital,,London Road,,Great Missenden,Buckinghamshire,HP16 0EN,51.69053268,-0.69365418,NT4,BMI Healthcare,01494 890890,chiltern@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chiltern-hospital,01494 890250,199945.5156,490287.9688
446,41507,RQ301,Hospital,Hospital,NHS Sector,Visible,True,Birmingham Children's Hospital,,Steelhouse Lane,,Birmingham,,B4 6NH,52.48489761,-1.8937397,RQ3,Birmingham Women's and Children's NHS Foundation Trust,0121 333 9999,,http://www.bwc.nhs.uk,0121 333 9998,287488.25,407215.0625
122,18621,NTN04,Hospital,Hospital,Independent Sector,Visible,True,Heathfield,Tottingworth Park,Broad Oak,,Heathfield,East Sussex,TN21 8UN,50.98192596,0.306597054,NTN,Priory Group Limited,01435 864 545,heathfield@priorygroup.com,http://www.priorygroup.com/heathfield,01435 869 609,122872.7656,561891.3125
715,43966,RYYD4,Hospital,Hospital,NHS Sector,Visible,True,Edenbridge War Memorial Hospital,Edenbridge and District War Memorial Hospital,Mill Hill,,Edenbridge,Kent,TN8 5DA,51.19065475,0.066651031,RYY,Kent Community Health NHS Foundation Trust,01732 863164,,http://www.kentcht.nhs.uk,,145579.8125,544400.4375
773,60338,R1F01,Hospital,Hospital,NHS Sector,Visible,True,St Mary's Hospital,St. Mary's Hospital,Parkhurst Road,,Newport,Isle of Wight,PO30 5TG,50.71084595,-1.301315904,R1F,Isle Of Wight NHS Trust,01983 822099,,http://www.iow.nhs.uk/our-services/mental-health-services/primary-care-mental-health-team.htm,,90431.36719,449325.5
714,43962,RYYCW,Hospital,Hospital,NHS Sector,Visible,True,"Royal Victoria Hospital, Folkestone",Royal Victoria Hospital,Radnor Park Avenue,,Folkestone,Kent,CT19 5BN,51.08599472,1.171908617,RYY,Kent Community Health NHS Foundation Trust,01303 850202,,,,136698.25,622114.6875
1090,3775034,RMYMW,Hospital,Hospital,NHS Sector,Visible,True,"Walker Close, Ipswich",,3 and 4 Walker Close,,Ipswich,Suffolk,IP3 8LY,52.05271912,1.196875691,RMY,Norfolk and Suffolk NHS Foundation Trust,01603421421,,http://www.nsft.nhs.uk,,244240.5,619160.625
1064,2917654,R1K04,Hospital,Hospital,Independent Sector,Visible,True,Ealing Hospital,Uxbridge Road,,,Southall,Middlesex,UB1 3HW,51.50760651,-0.345481128,R1K,London North West University Healthcare NHS Trust,020 8967 5000,lnwh-tr.trust@nhs.net,https://www.lnwh.nhs.uk/,,180093.0,514810.9688
999,1094732,NTN39,Hospital,Hospital,Independent Sector,Visible,True,Priory Hospital Dewsbury,,York Road,Earlsheaton,Dewsbury,,WF12 7LB,53.69366455,-1.61423862,NTN,Priory Group Limited,01924 436 140,dewsbury@priorygroup.com,http://www.priorygroup.com/dewsbury,,422007.6563,425469.25
844,65667,RY309,Hospital,UNKNOWN,Independent Sector,Visible,True,Norfolk & Norwich University Hospital - Norfolk Community Health and Care NHS Trust,Colney Lane,Colney,,Norwich,Norfolk,NR4 7UY,52.61808395,1.221081495,RY3,Norfolk Community Health and Care NHS Trust,,,,,307168.2813,618019.5
1112,4622618,RQM91,Hospital,Hospital,Independent Sector,Visible,True,West Middlesex University Hospital,Twickenham Road,,,Isleworth,Middlesex,TW7 6AF,51.47364807,-0.324419945,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,020 8560 2121,,http://www.chelwest.nhs.uk,,176350.3125,516358.7813
490,41865,RTD04,Hospital,Hospital,NHS Sector,Visible,True,Newcastle Dental Hospital,Richardson Road,,,Newcastle Upon Tyne,Tyne and Wear,NE2 4AZ,54.98150253,-1.62270236,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,(0191) 233 6161,foundation.office@nuth.nhs.uk,http://www.newcastle-hospitals.nhs.uk/,(0191) 282 4671,565284.5,424143.875
245,40225,RBZ99,Hospital,Hospital,NHS Sector,Visible,True,South Molton Hospital,Widgery Drive,,,South Molton,Devon,EX36 4DP,51.01707077,-3.839224815,RBZ,Northern Devon Healthcare NHS Trust,01769 572 164,,http://www.northdevonhealth.nhs.uk/services/community/south-molton-hospital/,,125857.8359,271006.6563
672,43621,RXYL2,Hospital,Hospital,NHS Sector,Visible,True,Littlebrook Hospital,Bow Arrow Lane,Stone,,Dartford,Kent,DA2 6PB,51.44635773,0.241635442,RXY,Kent and Medway NHS and Social Care Partnership Trust,01322 622222,,http://www.kmpt.nhs.uk,01322 622497,174367.625,555756.875
780,60874,RDR3L,Hospital,Hospital,Independent Sector,Visible,True,Horsham Hospital,Hurst Road,,,Horsham,West Sussex,RH12 2DR,51.06988907,-0.323812664,RDR,Sussex Community NHS Foundation Trust,01403 227000,,http://www.sussexcommunity.nhs.uk/services/locations/horsham_hospital.htm,,131457.7031,517425.8438
607,43004,RX4CA,Hospital,Hospital,NHS Sector,Visible,True,Ferndene,Ferndene,Moor Road,,Prudhoe,Northumberland,NE42 5PB,54.94983292,-1.841312885,RX4,"Northumberland, Tyne and Wear NHS Foundation Trust",01661 838400,,http://www.ntw.nhs.uk,,561707.125,410162.6563
1002,1094869,NV213,Hospital,Hospital,Independent Sector,Visible,True,Eldertree Lodge,Ashley,,Market Drayton,Stoke-on-Trent,Staffordshire,TF9 4LX,52.92867661,-2.356504679,NV2,The Huntercombe Group,01630 673800,eldertree.lodge@huntercombe.com,http://huntercombe.com,,336902.4375,376037.7813
139,18731,NTV15,Hospital,Hospital,Independent Sector,Visible,True,Molesey Community Hospital,,High Street,,West Molesey,Surrey,KT8 2LU,51.39753342,-0.372527897,NTV,Central Surrey Health,020 8941 4481,,http://www.cshsurrey.co.uk,,167811.5781,513206.2188
961,78482,NN601,Hospital,UNKNOWN,NHS Sector,Visible,True,All Hallows Hospital (Station Road),Station Road,Ditchingham,,Bungay,Suffolk,NR35 2QL,52.46637344,1.446410656,NN6,All Hallows Hospital,,,,,291008.1875,634072.5625
881,70467,RNUCE,Hospital,Hospital,Independent Sector,Visible,True,Bicester Community Hospital,Piggy Lane,,,Bicester,Oxfordshire,OX26 6HT,51.89619446,-1.158063531,RNU,Oxford Health NHS Foundation Trust,01865 903880,,http://www.oxfordhealth.nhs.uk/service_description/bicester-community-hospital/,,222344.2031,457926.9375
1126,5373150,NMJ24,Hospital,UNKNOWN,NHS Sector,Visible,True,Cygnet Hospital Woking,Redding Way,Knaphill,,Woking,Surrey,GU21 2QS,51.31477737,-0.61519134,NMJ,Cygnet Health Care Limited,01483 795 100,,https://www.cygnethealth.co.uk/locations/cygnet-hospital-woking/,,158262.7969,496501.1875
944,75984,RYG12,Hospital,Hospital,Independent Sector,Visible,True,Pembleton Unit,The Manor Site,Manor Court Avenue,,Nuneaton,Warwickshire,CV11 5HX,52.52698898,-1.477693915,RYG,Coventry and Warwickshire Partnership NHS Trust,02476321507,,http://www.covwarkpt.nhs.uk,,292292.625,435430.5
1213,10512701,NNJ11,Hospital,UNKNOWN,NHS Sector,Visible,False,Lutterworth Hospital,Gilmorton Road,,,Lutterworth,,LE17 4DZ,52.45785522,-1.197785735,NNJ,DHU Health Care CIC,,,,,284777.7813,454503.125
629,43110,RXK10,Hospital,Hospital,NHS Sector,Visible,True,Rowley Regis Hospital,Moor Lane,,,Rowley Regis,West Midlands,B65 8DA,52.48070145,-2.052065849,RXK,Sandwell and West Birmingham Hospitals NHS Trust,0121 507 6300,swbh.comms@nhs.net,http://www.swbh.nhs.uk/,0121 607 3469,287017.5313,396464.4063
140,18732,NTV16,Hospital,Hospital,Independent Sector,Visible,True,New Epsom and Ewell Community Hospital,,West Park Road,Horton Lane,Epsom,Surrey,KT19 8PB,51.34170914,-0.301640064,NTV,Central Surrey Health,01372 734845,,http://www.cshsurrey.co.uk,,161716.3281,518280.5938
210,40054,RA959,Hospital,Hospital,NHS Sector,Visible,True,Teignmouth Hospital,Mill Lane,,,Teignmouth,Devon,TQ14 9BQ,50.54837418,-3.511145592,RA9,Torbay and South Devon NHS Foundation Trust,01626 772 161,,https://www.torbayandsouthdevon.nhs.uk/visiting-us/teignmouth-community-hospital/,,73224.0,292950.0938
165,18843,NVC18,Hospital,Hospital,Independent Sector,Visible,True,Springfield Hospital,Lawn Lane,,,Chelmsford,Essex,CM1 7GU,51.75337219,0.484612137,NVC,Ramsay Healthcare UK Operations Limited,01245 234 000,springfield.enquiries@ramsayhealth.co.uk,http://www.springfieldhospital.co.uk,01245 234 001,209046.8125,571476.75
433,41409,RP5RE,Hospital,Hospital,NHS Sector,Visible,True,Retford Hospital,North Road,,,Retford,Nottinghamshire,DN22 7XF,53.3254509,-0.950618625,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,01777 274400,,http://www.dbh.nhs.uk,01777 710535,381491.2188,469885.8125
337,40795,RH859,Hospital,Hospital,NHS Sector,Visible,True,Victoria Hospital (Sidmouth),General Hospital,,,Sidmouth,Devon,EX10 8EW,50.68161392,-3.239641666,RH8,Royal Devon and Exeter NHS Foundation Trust,,,,,87681.26563,312430.625
137,18660,NTP15,Hospital,Hospital,Independent Sector,Visible,True,North East London NHS Treatment Centre,c/o Care UK,King George Hospital,Barley Lane,Ilford,Essex,IG3 8YB,51.58054352,0.112121284,NTP,Care UK,0333 200 4069,cuk.enquiriesneltc@nhs.net,http://www.nelondontreatmentcentre.nhs.uk,0208 598 4261,189019.8438,546328.0
447,41511,RQ601,Hospital,Hospital,NHS Sector,Visible,True,Broadgreen Hospital,Thomas Drive,,,Liverpool,Merseyside,L14 3LB,53.4111557,-2.89797473,RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,0151 706 2000,,http://www.rlbuht.nhs.uk/OurHospitals/Pages/Broadgreen%20Hospital.aspx,0151 282 6798,390887.125,340317.0938
225,40096,RAS02,Hospital,Hospital,NHS Sector,Visible,True,Mount Vernon Hospital,Rickmansworth Road,Rickmansworth Road,,Northwood,Middlesex,HA6 2RN,51.61492538,-0.445808202,RAS,The Hillingdon Hospitals NHS Foundation Trust,01923 826111,info@thh.nhs.uk,http://www.thh.nhs.uk,01923 844460,191873.7813,507595.8125
108,18464,NT443,Hospital,Hospital,Independent Sector,Visible,True,BMI The Winterbourne Hospital,,Herringston Road,,Dorchester,Dorset,DT1 2DR,50.7010231,-2.441853046,NT4,BMI Healthcare,01305 263252,winterbourne@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-winterbourne-hospital,01305 265424,89199.50781,368799.5625
576,42716,RWG08,Hospital,Hospital,NHS Sector,Visible,True,Hemel Hempstead Hospital,,Hillfield Road,,Hemel Hempstead,Hertfordshire,HP2 4AD,51.75083923,-0.468585968,RWG,West Hertfordshire Hospitals NHS Trust,01442 213141,communications@whht.nhs.uk,https://www.westhertshospitals.nhs.uk,,206953.8438,505702.0
738,46583,RWK46,Hospital,Hospital,NHS Sector,Visible,True,Newham Centre for Mental Health,,Cherry Tree Way,Glen Road,London,,E13 8SP,51.52047348,0.038419992,RWK,East London NHS Foundation Trust,020 7540 4380,,,,182195.7969,541408.625
1189,9040110,RHM0O,Hospital,UNKNOWN,Independent Sector,Visible,False,Bournemouth Nuffield Hospital,67-71 Lansdowne Road,,,Bournemouth,Dorset,BH1 1RW,50.73041916,-1.870926738,RHM,University Hospital Southampton NHS Foundation Trust,,,,,92382.85938,409108.5313
584,42755,RWP50,Hospital,Hospital,NHS Sector,Visible,True,Worcestershire Royal Hospital,Charles Hastings Way,Charles Hastings Way,,Worcester,Worcestershire,WR5 1DD,52.19151688,-2.179341078,RWP,Worcestershire Acute Hospitals NHS Trust,01905 763 333,wah-tr.pet@nhs.net,http://www.worcsacute.nhs.uk/our-hospitals/worcestershire-royal-hospital/,,254868.4375,387741.9375
544,42366,RVV09,Hospital,Hospital,NHS Sector,Visible,True,Queen Elizabeth The Queen Mother Hospital,Queen Elizabeth The Queen Mother Hospital,St Peters Road,,Margate,Kent,CT9 4AN,51.37805176,1.389398694,RVV,East Kent Hospitals University NHS Foundation Trust,01843 225544,,http://www.ekhuft.nhs.uk/qeqm,,169841.4219,635841.8125
17,18357,NT210,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, The Grosvenor Hospital, Chester","Nuffield Health Chester Hospital, The Grosvenor",Wrexham Road,,Chester,Cheshire,CH4 7QP,53.17634583,-2.895246744,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/thegrosvenorhospitalchester,0845 280 3251,364766.0938,340171.1875
460,41573,RQY05,Hospital,Hospital,NHS Sector,Visible,True,Barnes Hospital,,South Worple Way,Barnes,London,,SW14 8SU,51.46709061,-0.256503701,RQY,South West London and St George's Mental Health NHS Trust,0203 513 5000,,https://www.swlstg.nhs.uk,0203 513 5471,175731.2969,521092.2188
891,71264,RGDPL,Hospital,Hospital,Independent Sector,Visible,True,Parkside Lodge,16 Stanningley Road,,,Leeds,West Yorkshire,LS12 2HE,53.79930115,-1.590011001,RGD,Leeds and York Partnership NHS Foundation Trust,0113 855 5000,pals.lypft@nhs.net,http://www.leedsandyorkpft.nhs.uk/,,433768.1563,427001.0313
913,73638,R1D07,Hospital,UNKNOWN,Independent Sector,Visible,False,Market Drayton Cottage Hospital,Shropshire Street,,,Market Drayton,Shropshire,TF9 3DQ,52.90176392,-2.487899065,R1D,Shropshire Community Health NHS Trust,,,,,333960.875,367185.9063
464,41611,RR801,Hospital,Hospital,NHS Sector,Visible,True,Leeds General Infirmary,Great George Street,,,Leeds,West Yorkshire,LS1 3EX,53.80146027,-1.552119255,RR8,Leeds Teaching Hospitals NHS Trust,0113 243 2799,,http://www.leedsth.nhs.uk,,434023.4063,429494.9688
197,39977,RA301,Hospital,Hospital,NHS Sector,Visible,True,Weston General Hospital,,Grange Road,Uphill,Weston-Super-Mare,,BS23 4TQ,51.32234192,-2.971384764,RA3,Weston Area Health NHS Trust,01934 636363,wnt-tr.pressoffice@nhs.net,http://www.waht.nhs.uk,01934 647029,158641.4844,332318.9063
761,59588,NMQ01,Hospital,UNKNOWN,NHS Sector,Visible,False,Ashwood Court Independent Hospital,Woodford Avenue,Lowton,,Warrington,Cheshire,WA3 2RB,53.47247696,-2.575762749,NMQ,Making Space,,,,,397487.2813,361787.3438
134,18635,NTN24,Hospital,Hospital,Independent Sector,Visible,True,Priory Hospital Middleton St George,,Middleton St George,,Darlington,Durham,DL2 1TS,54.51710892,-1.433142424,NTN,Priory Group Limited,01325 333192,middletonstgeorge@priorygroup.com,http://www.priorygroup.com/middletonstgeorge,01325 333 883,513696.6875,436691.5
1053,2596948,RT265,Hospital,Hospital,NHS Sector,Visible,True,Child & Family Service,,Fairfield General Hospital,,Rochdale,,BL9 7TD,53.60042572,-2.255607843,RT2,Pennine Care NHS Foundation Trust,0161 918 8515,,https://www.penninecare.nhs.uk/your-services/child-and-adolescent-mental-health-services-camhs/,,411596.6563,383086.625
141,18758,NTY93,Hospital,Hospital,Independent Sector,Visible,True,Tarporley War Memorial Hospital Trust,14 Park Road,,,Tarporley,Cheshire,CW6 0AP,53.15922165,-2.66672349,NTY,Other Private Healthcare Providers,01829 732436,,,,362694.6875,355425.2813
1051,2309420,RL4TC,Hospital,Hospital,Independent Sector,Visible,True,Cannock Chase Hospital,Brunswick Road,,,Cannock,Staffordshire,WS11 5XY,52.69324493,-2.030599594,RL4,The Royal Wolverhampton NHS Trust,01543 572757,,,,310656.6875,397932.125
1082,3664767,RTQ54,Hospital,Hospital,NHS Sector,Visible,True,Berkeley House,,"Berkeley Close, Stroud",,,,GL5 4SA,51.74640274,-2.247665167,RTQ,2gether NHS Foundation Trust,,,,,205380.0,382903.4063
93,18446,NT424,Hospital,Hospital,Independent Sector,Visible,True,BMI The Meriden Hospital,University Hospital Site,Clifford Bridge Road,,Coventry,Warwickshire,CV2 2LQ,52.42121506,-1.438388586,NT4,BMI Healthcare,024 7664 7000,meriden@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-meriden-hospital,024 7664 7001,280548.4063,438188.1875
704,43873,RYV01,Hospital,Hospital,NHS Sector,Visible,True,Brookfields Hospital,,351 Mill Road,,Cambridge,Cambridgeshire,CB1 3DF,52.19714355,0.150759131,RYV,Cambridgeshire Community Services NHS Trust,01223 603051,ccs-tr.pals@nhs.net,,,257659.1719,546978.625
323,40774,RH5F8,Hospital,Hospital,NHS Sector,Visible,True,West Mendip Community Hospital,,Old Wells Road,,Glastonbury,Somerset,BA6 8JD,51.16048431,-2.699217319,RH5,Somerset Partnership NHS Foundation Trust,01458 836450,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/west_mendip_hospital,,140427.5781,351110.5938
259,40275,RCF31,Hospital,Hospital,NHS Sector,Visible,True,Skipton General Hospital,Keighley Road,,,Skipton,North Yorkshire,BD23 2RJ,53.95569611,-2.018997669,RCF,Airedale NHS Foundation Trust,01756 792233,personnel.dept@anhst.nhs.uk,http://www.airedale-trust.nhs.uk/,01756 700485,451089.0313,398753.5
444,41504,RPY01,Hospital,Hospital,NHS Sector,Visible,True,The Royal Marsden Hospital (London),Fulham Road,,,London,Greater London,SW3 6JJ,51.49056244,-0.172550783,RPY,The Royal Marsden NHS Foundation Trust,020 7352 8171,patientcentre@royalmarsden.nhs.uk,http://www.royalmarsden.nhs.uk,020 8661 3335,178483.3125,526857.4375
25,18366,NT219,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Hereford Hospital",,Venns Lane,,Hereford,Herefordshire,HR1 1DF,52.06393814,-2.69995451,NT2,Nuffield Health,01432 355131,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/herefordhospital,01432 344061,240895.6875,352021.125
400,41161,RM301,Hospital,Hospital,NHS Sector,Visible,True,Salford Royal,,Stott Lane,,Salford,,M6 8HD,53.48754883,-2.323409557,RM3,Salford Royal NHS Foundation Trust,0161 789 7373,,http://www.srft.nhs.uk,,399058.2813,378543.25
767,59953,R1CF2,Hospital,Hospital,Independent Sector,Visible,True,St James,Locksway Road,,,Southsea,Hampshire,PO4 8LD,50.79695511,-1.050118327,R1C,Solent NHS Trust,,,,,100203.0078,466936.2813
522,42210,RV502,Hospital,Hospital,NHS Sector,Visible,True,Lambeth Hospital,108 Landor Road,108 Landor Road,,London,,SW9 9NU,51.46531677,-0.122234575,RV5,South London and Maudsley NHS Foundation Trust,020 3228 6000,,http://www.slam.nhs.uk/our-services/hospital-care/lambeth-hospital,,175764.6563,530422.0
917,73748,RW1YH,Hospital,UNKNOWN,Independent Sector,Visible,False,Ashurst Hospital,Lyndhurst Road,Ashurst,,Southampton,Hampshire,SO40 7AR,50.89214325,-1.522285342,RW1,Southern Health NHS Foundation Trust,,,,,110465.7891,433595.4063
697,43804,RYJ07,Hospital,Hospital,NHS Sector,Visible,True,Western Eye Hospital,153-173 Marylebone Road,,,London,,NW1 5QH,51.52070236,-0.163315639,RYJ,Imperial College Healthcare NHS Trust,020 3312 6666,,https://www.imperial.nhs.uk/our-locations/western-eye-hospital,,181850.6563,527414.375
1013,1095948,R1J11,Hospital,Hospital,NHS Sector,Visible,True,Lydney & District Hospital,,Grove Road,,Lydney,Gloucestershire,GL15 5JE,51.72731781,-2.536882162,R1J,Gloucestershire Care Services NHS Trust,0300 421 8722,,http://www.glos-care.nhs.uk,,203364.9688,362922.9063
1218,10565355,NTX0B,Hospital,UNKNOWN,NHS Sector,Visible,False,One Health Group - Kinvara Hospital,Crantock House,Clifton Lane,,Rotherham,,S65 2AJ,53.42804337,-1.346215487,NTX,One Health Group,,,,,392589.2188,443436.0938
769,59970,R1CM8,Hospital,UNKNOWN,Independent Sector,Visible,False,Elmleigh Hospital,61A New Lane,,,Havant,Hampshire,PO9 2JJ,50.85652542,-0.975570321,R1C,Solent NHS Trust,,,,,106896.6094,472097.5938
1109,4621851,NMV51,Hospital,UNKNOWN,NHS Sector,Visible,False,Park Lodge,34 Sandy Lane,Romiley,,Stockport,Cheshire,SK6 4NH,53.41864777,-2.082670927,NMV,Partnerships In Care Ltd,,,,,391348.1875,394506.2813
106,18462,NT440,Hospital,Hospital,Independent Sector,Visible,True,BMI Thornbury Hospital,,312 Fulwood Road,,Sheffield,,S10 3BR,53.37451935,-1.517261028,NT4,BMI Healthcare,0114 2661133,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-thornbury-hospital,0114 2686913,386544.7813,432112.5625
1128,5692500,RPA88,Hospital,UNKNOWN,Independent Sector,Visible,False,The Somerfield Hospital,63-77 London Road,,,Maidstone,Kent,ME16 0DU,51.27745056,0.507508457,RPA,Medway NHS Foundation Trust,,,,,156187.9219,574870.5625
611,43021,RXA19,Hospital,Hospital,NHS Sector,Visible,True,Bowmere Hospital,,The Countess Of Chester Health Park,Liverpool Road,Chester,Cheshire,CH2 1BQ,53.21154785,-2.898810625,RXA,Cheshire and Wirral Partnership NHS Foundation Trust,01244397300,info@cwp.nhs.uk,http://www.cwp.nhs.uk,01244 397281,368684.6563,339982.2188
94,18449,NT427,Hospital,Hospital,Independent Sector,Visible,True,BMI The Park Hospital,Sherwood Lodge Drive,Burntstump Country Park,,Arnold,Nottinghamshire,NG5 8RX,53.0500946,-1.142871261,NT4,BMI Healthcare,0115 9662000,,https://www.bmihealthcare.co.uk/hospitals/bmi-the-park-hospital,0115 9670381,350691.9063,457449.5
319,40769,RH5F2,Hospital,Hospital,NHS Sector,Visible,True,Chard  Community Hospital,,Crewkerne Road,,Chard,Somerset,TA20 1NF,50.875,-2.952359438,RH5,Somerset Partnership NHS Foundation Trust,01460 238220,,http://www.sompar.nhs.uk/what-we-do/community-hospitals/,,108882.9063,333000.9688
689,43682,RY8NW,Hospital,Hospital,NHS Sector,Visible,True,Cavendish Hospital,,Manchester Road,,Buxton,Derbyshire,SK17 6TE,53.26244736,-1.92124033,RY8,Derbyshire Community Health Services NHS Foundation Trust,01298 212800,dchst.patientexperienceteam@nhs.net,http://www.dchs.nhs.uk/home_redesign/our-services/find_services_by_location/cavendishhospital/,,373972.4375,405252.9688
1121,5177144,RTP04,Hospital,Hospital,NHS Sector,Visible,True,East Surrey Hospital,,Canada Avenue,,Redhill,,RH1 5RH,51.2191925,-0.161995023,RTP,Surrey and Sussex Healthcare NHS Trust,01737 768 511,,,,148328.4688,528346.4375
267,40335,RDD03,Hospital,Hospital,NHS Sector,Visible,True,Basildon Hospital - Dermatology Benfleet,Tyrells Health Centre,Seamore Avenue,,Benfleet,Essex,SS7 4EX,51.57055283,0.553597927,RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,,,,,188885.1875,576948.125
978,462560,NMJ10,Hospital,Hospital,Independent Sector,Visible,True,Cygnet Hospital Harrow,,London Road,,Harrow on the Hill,Middlesex,HA1 3JL,51.5670929,-0.337969631,NMJ,Cygnet Health Care Limited,020 8966 7000,alexanderlawrence@cygnethealth.co.uk,http://www.cygnethealth.co.uk/locations/harrow/,020 8864 6092,186719.3281,515181.9063
2,18102,NLT02,Hospital,Hospital,NHS Sector,Visible,True,North Somerset Community Hospital,North Somerset Community Hospital,Old Street,,Clevedon,Avon,BS21 6BS,51.43719482,-2.847192764,NLT,North Somerset Community Partnership Community Interest Company,01275 872212,,http://www.nscphealth.co.uk,,171305.7813,341119.375
682,43674,RY838,Hospital,Hospital,NHS Sector,Visible,True,Whitworth Hospital,,330 Bakewell Road,Darley Dale,Matlock,Derbyshire,DE4 2JD,53.1509285,-1.575200796,RY8,Derbyshire Community Health Services NHS Foundation Trust,01629 580211,dchst.patientexperienceteam@nhs.net,http://www.dchs.nhs.uk/home_redesign/our-services/find_services_by_location/whitworthhospital/,,361648.9063,428406.0938
569,42682,RWEAK,Hospital,Hospital,NHS Sector,Visible,True,Leicester General Hospital,,Gwendolen Road,,Leicester,Leicestershire,LE5 4PW,52.62992859,-1.081749201,RWE,University Hospitals Of Leicester NHS Trust,0300 303 1573,communications@uhl-tr.nhs.uk,http://www.leicestershospitals.nhs.uk,,304009.5938,462143.0938
195,39967,R1HNH,Hospital,Hospital,NHS Sector,Visible,True,Newham General Hospital,Glen Road,Plaistow,,London,,E13 8SL,51.52277756,0.034731604,R1H,Barts Health NHS Trust,020 7476 4000,nuhpals@bartshealth.nhs.uk,http://www.bartshealth.nhs.uk,020 7363 8181,182444.8594,541145.6875
344,40861,RHQNG,Hospital,Hospital,NHS Sector,Visible,True,Northern General Hospital,,Northern General Hospital,Herries Road,Sheffield,South Yorkshire,S5 7AU,53.40887833,-1.460876465,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0114 243 4343,,http://www.sth.nhs.uk/,,390393.625,435834.4375
263,40304,RD130,Hospital,Hospital,NHS Sector,Visible,True,"Royal United Hospitals, Bath",Combe Park,,,Bath,Avon,BA1 3NG,51.39167023,-2.39120388,RD1,Royal United Hospitals Bath NHS Foundation Trust,01225 428331,webmaster@ruh.nhs.uk,http://www.ruh.nhs.uk/,,165975.5625,372783.8125
282,40438,RDYEG,Hospital,Hospital,NHS Sector,Visible,True,Westhaven Hospital,,Radipole Lane,,Weymouth,Dorset,DT4 0QE,50.615242,-2.480030775,RDY,Dorset Healthcare University NHS Foundation Trust,01305 786116,,http://www.dorsethealthcare.nhs.uk,,79678.55469,366041.9375
182,18909,NXM01,Hospital,Hospital,Independent Sector,Visible,True,The Horder Centre ,The Horder Centre,St. Johns Road,,Crowborough,East Sussex,TN6 1XP,51.06367493,0.142799318,NXM,The Horder Centre,01892 665577,info@horder.co.uk,https://www.horderhealthcare.co.uk,01892 662142,131614.5313,550131.75
251,40242,RCBL8,Hospital,Hospital,NHS Sector,Visible,True,"Malton, Norton & District Hospital",,Middlecave Road,,Malton,North Yorkshire,YO17 7NG,54.13724518,-0.806531847,RCB,York Teaching Hospital NHS Foundation Trust,01653 693041,,http://www.york.nhs.uk,01653 604521,471944.5938,477964.4375
